Units of Measure,Arithmetic Mean,1st Max Value,1st Max Hour,State Name,CBSA Name
Knots,3.570833,6.9,18,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.320833,5.5,4,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.445833,8.4,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.516667,6,11,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.220833,7.6,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.6,13.9,18,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.466667,8.3,11,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,7.058333,10.6,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.841667,10.9,0,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.554167,4.6,11,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.804167,5.8,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.925,8.7,18,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.895833,8.5,12,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.6,5.9,10,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.054167,3.6,2,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.483333,4.9,9,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.8125,6.3,15,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.15,8.8,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.754167,8.7,11,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.058333,6.3,0,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.195833,6.4,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,7.454167,14.9,18,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,7.908333,11,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.966667,6.9,23,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.866667,6.6,0,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.666667,5.3,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.783333,5.7,5,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.233333,5.9,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.695833,10.4,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,7.304167,9.5,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.8125,9.9,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.729167,8.7,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.379167,8.2,12,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.179167,6.3,9,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,1.441667,4.9,15,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.304167,6.1,12,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.183333,5.3,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.85,6.1,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.6125,11.9,22,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.25,9.6,0,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.420833,8,4,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.4125,12,10,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.091667,4.2,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.470833,6,9,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.6125,3.7,9,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.995833,12.9,12,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.683333,6.7,9,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.8125,7.6,10,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.766667,5.6,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.9625,5.3,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,1.833333,4.9,15,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,1.5125,3,17,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.816667,7.7,15,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.4,5.6,10,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.516667,12.4,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,8.25,14.6,19,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.6625,9.8,8,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,1.725,5.5,9,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,1.025,3.4,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.8625,8.1,19,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.070833,8.8,2,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,1.504167,2.8,21,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.154167,9.1,23,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,9.541667,13.6,12,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.05,5.6,1,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.933333,6.5,16,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.808333,12.2,10,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.033333,8.7,0,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.495833,6.1,23,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.770833,9.8,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.466667,5.3,19,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,1.804348,3.7,2,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.504167,11.9,21,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,8.341667,12.9,8,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,9.920833,15.4,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,7.4125,10.9,0,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,8.533333,12.9,9,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.791667,6.5,8,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.766667,10.5,16,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.004167,7.2,15,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.983333,7.1,15,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.7125,9.4,15,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.704167,6.6,10,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.05,6.7,11,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.479167,6.5,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.508333,6.8,11,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,8.1,13.1,16,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,7.8,11.7,10,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.170833,11.4,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.3375,9.5,9,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.104167,8.4,11,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.558333,7.8,15,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.320833,3.6,7,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.320833,6.3,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.8375,7.7,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.4625,9.5,8,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.9,6.8,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.391667,8.6,16,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.7625,6.3,8,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.833333,6.9,16,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.383333,11,17,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.883333,5.6,21,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,6.879167,12.3,13,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,4.366667,7.6,14,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,2.695833,5.9,7,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,5.525,11,15,Iowa,"Davenport-Moline-Rock Island, IA-IL"
Knots,3.808333,8.9,9,Iowa,"Davenport-Moline-Rock Island, IA-IL"
