age,sex,sexornt,agekdbrn,natdrug,grass,happy,hapmar,socbar,polhitok,hunt,fejobaff,discaffm,discaffw,fehire,inttech,meovrwrk,hapunhap,theism,fatalism,godmeans,nihilism,egomeans,evidu,idu30,evcrack,crack30,race,uscitzn,fucitzn,cohort,realinc,realrinc
29,FEMALE,Heterosexual or straight,22,TOO LITTLE,LEGAL,PRETTY HAPPY,NA,ONCE A YEAR,YES,NA,STRONGLY AGAINST,VERY LIKELY,NA,NA,Very interested,DISAGREE,VERY HAPPY,AGREE,NEITHER AGREE NOR DISAGREE,NEITHER AGREE NOR DISAGREE,DISAGREE,STRONGLY AGREE,NO,NA,NO,NA,WHITE,NA,NA,1989,20430,20430
38,FEMALE,Heterosexual or straight,26,TOO LITTLE,LEGAL,VERY HAPPY,VERY HAPPY,NA,YES,SPOUSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1980,30645,10782.5
42,FEMALE,NA,29,NA,NA,PRETTY HAPPY,NA,SEV TIMES A YEAR,NA,RESP,NA,NA,SOMEWHAT LIKELY,AGREE,Moderately interested,NA,FAIRLY HAPPY,STRONGLY AGREE,DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,NA,NA,NA,NA,WHITE,NA,NA,1976,12485,12485
69,FEMALE,NA,21,TOO LITTLE,NA,PRETTY HAPPY,NA,NA,NA,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHITE,NA,NA,1949,30645,NA
29,FEMALE,NA,28,ABOUT RIGHT,NA,VERY HAPPY,VERY HAPPY,NEVER,NA,NEITHER,STRONGLY FOR,VERY LIKELY,NA,NA,Moderately interested,DISAGREE,VERY HAPPY,DISAGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NA,NA,NA,NA,BLACK,NA,NA,1989,37455,20430
33,MALE,NA,19,NA,NOT LEGAL,PRETTY HAPPY,PRETTY HAPPY,NA,NO,BOTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,OTHER,Not a U.S. Citizen,NOT ELIGIBLE TO BECOME A U.S. CITIZEN (IF VOLUNTEERED),1985,6242.5,NA
27,MALE,NA,26,NA,NA,VERY HAPPY,VERY HAPPY,SEV TIMES A YEAR,NA,RESP,NA,NA,SOMEWHAT LIKELY,DISAGREE,Very interested,DISAGREE,VERY HAPPY,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1991,30645,24970
42,MALE,Heterosexual or straight,18,TOO LITTLE,NOT LEGAL,NOT TOO HAPPY,PRETTY HAPPY,NA,YES,RESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,MORE THAN 3 YEARS AGO,NO,NA,WHITE,NA,NA,1976,37455,1589
57,MALE,Heterosexual or straight,25,NA,NOT LEGAL,VERY HAPPY,VERY HAPPY,SEV TIMES A YEAR,YES,NA,NA,NA,SOMEWHAT LIKELY,AGREE,NA,AGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1961,119879.41732000001,37455
41,FEMALE,Heterosexual or straight,25,NA,LEGAL,PRETTY HAPPY,NA,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1977,24970,NA
