name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
West Virginia University Institute of Technology,West-Virginia,57100,103700,56,40,Public,4 Year,11390,7464,18854,18648,30038
West Virginia University,West-Virginia,54400,99900,52,22,Public,4 Year,10918,8856,19774,24950,35868
Alderson Broaddus University,West-Virginia,50600,90500,72,15,Private,4 Year,8860,27910,36770,27910,36770
Shepherd University,West-Virginia,47100,87100,48,12,Public,4 Year,10500,7548,18048,18048,28548
West Virginia Wesleyan College,West-Virginia,47000,85200,53,21,Private,4 Year,8856,31640,40496,31640,40496
Wheeling Jesuit University,West-Virginia,44800,83400,57,5,Private,4 Year,9900,29290,39190,29290,39190
University of Charleston,West-Virginia,44600,81900,51,4,Private,4 Year,9180,30900,40080,30900,40080
Marshall University,West-Virginia,45000,79700,50,12,Public,4 Year,10450,8128,18578,18614,29064
West Liberty University,West-Virginia,42500,77000,51,6,Public,4 Year,9406,7730,17136,15670,25076
West Virginia State University,West-Virginia,41800,76000,46,8,Public,4 Year,11892,8167,20059,16072,27964
Concord University,West-Virginia,41700,75800,53,9,Public,4 Year,8988,7896,16884,17320,26308
Fairmont State University,West-Virginia,42900,74100,53,7,Public,4 Year,9004,7514,16518,16324,25328
Ohio Valley University,West-Virginia,38800,71100,81,1,Private,4 Year,7980,21900,29880,21900,29880
Milwaukee School of Engineering,Wisconsin,65700,117600,50,69,Private,4 Year,10389,40749,51138,40749,51138
Marquette University,Wisconsin,57800,105900,52,25,Private,4 Year,12720,41870,54590,41870,54590
University of Wisconsin-Madison,Wisconsin,57300,104400,48,33,Public,4 Year,11114,10555,21669,36805,47919
University of Wisconsin-Platteville,Wisconsin,56800,100300,50,38,Public,4 Year,7580,7571,15151,15421,23001
Lawrence University,Wisconsin,51500,98800,58,25,Private,4 Year,10341,47475,57816,47475,57816
Bellin College,Wisconsin,55800,97600,94,0,Private,4 Year,8830,50040,58870,50040,58870
University of Wisconsin-Eau Claire,Wisconsin,52100,93600,46,14,Public,4 Year,7813,8820,16633,17096,24909
University of Wisconsin-Milwaukee,Wisconsin,50600,90300,50,17,Public,4 Year,10728,11084,21812,22364,33092
Ripon College,Wisconsin,46300,89600,60,26,Private,4 Year,8400,43808,52208,43808,52208
University of Wisconsin-Stout,Wisconsin,50400,89500,47,14,Public,4 Year,6924,9457,16381,17423,24347
University of Wisconsin-Whitewater,Wisconsin,48900,89300,44,8,Public,4 Year,6786,7692,14478,16265,23051
University of Wisconsin-La Crosse,Wisconsin,49600,88300,53,19,Public,4 Year,6331,9106,15437,17924,24255
Edgewood College,Wisconsin,49500,87500,54,5,Private,4 Year,11020,29500,40520,29500,40520
Carroll University,Wisconsin,45600,86500,49,14,Private,4 Year,9484,31918,41402,31918,41402
Beloit College,Wisconsin,47400,85700,59,24,Private,4 Year,8830,50040,58870,50040,58870
Carthage College,Wisconsin,48900,85400,48,17,Private,4 Year,11990,43550,55540,43550,55540
University of Wisconsin-Oshkosh,Wisconsin,47700,84300,52,10,Public,4 Year,7448,8820,16268,16393,23841
Cardinal Stritch University,Wisconsin,47000,82500,51,2,Private,4 Year,8440,29998,38438,29998,38438
Wisconsin Lutheran College,Wisconsin,46200,82500,45,10,Private,4 Year,10190,29725,39915,29725,39915
Viterbo University,Wisconsin,46800,81900,62,3,Private,4 Year,9060,27970,37030,27970,37030
Concordia University-Wisconsin,Wisconsin,46700,81600,61,9,Private,4 Year,10860,29450,40310,29450,40310
University of Wisconsin-Parkside,Wisconsin,46000,81400,47,17,Public,4 Year,8026,7529,15555,15518,23544
University of Wisconsin-River Falls,Wisconsin,47100,81300,52,14,Public,4 Year,6513,7862,14375,15435,21948
University of Wyoming,Wyoming,52400,98800,58,25,Public,4 Year,10320,5400,15720,17490,27810
