IDSTUD,ITBIRTHM,ITBIRTHY,ITSEX,ASDAGE,ASSSCI01,ASSEAR01,ASSLIF01,ASSPHY01,ASSKNO01,ASSAPP01,ASSREA01
1680106,4,2005,2,10,458.5745,415.5565,482.1958,439.9281,478.1615,475.4408,508.0228
1680107,1,2005,2,10.25,420.4539,445.2459,423.3767,417.1535,436.9249,398.0748,459.7513
1680108,11,2006,1,8.42,428.7303,505.7148,498.4612,493.3481,450.1271,445.6618,474.0661
1680109,2,2005,1,10.17,634.7012,631.1857,625.3537,636.8583,576.5392,581.2237,567.1706
1680110,2,2005,1,10.17,505.0371,578.9345,560.6928,528.6406,508.0861,516.6063,500.8276
1680111,1,2005,2,10.25,519.7788,506.3597,570.4483,535.9327,517.8132,494.6164,514.2564
1680112,1,2005,2,10.25,366.8926,361.2357,342.3843,336.5431,313.1668,363.2782,344.785
1680113,4,2005,2,10,526.9809,581.5593,565.4273,545.5147,571.2436,532.2839,564.3419
1680114,3,2005,2,10.08,469.2027,486.6456,528.2173,490.8343,479.3981,450.1374,485.4475
1680115,3,2004,2,11.08,582.7129,631.7745,590.4737,547.9915,592.7346,584.401,572.5345
1680116,12,2004,2,10.33,568.8218,526.0793,537.5412,552.4858,531.0339,555.4993,525.2685
1680117,2,2005,1,10.17,497.179,561.1773,579.6978,542.9399,513.6756,533.8017,528.0739
1680118,9,2005,1,9.58,568.1163,511.7335,568.1015,557.6418,573.8315,567.7722,579.0883
1680119,1,2005,2,10.25,547.1012,430.9357,504.8541,490.5826,565.9394,554.4696,565.4365
1680120,4,2006,2,9,431.8859,556.2441,558.3021,526.682,538.8765,525.5489,573.864
1680121,6,2005,1,9.83,559.0607,559.678,524.5353,535.8643,591.194,600.8894,600.938
1680122,12,2004,1,10.33,537.5372,430.6159,453.9909,458.2745,546.2228,566.4173,575.8344
1680123,11,2004,1,10.42,451.7649,381.0095,435.484,417.2075,453.6781,430.5088,439.8427
1680124,1,2005,2,10.25,560.1152,540.6714,584.0756,586.7258,633.8189,604.9766,568.2889
1680125,6,2005,1,9.83,420.4294,365.4353,415.0154,395.0159,443.5672,454.3412,472.4897
1680126,6,2005,2,9.83,341.0926,287.2742,356.9781,352.7234,442.3754,441.2651,455.9928
1680127,12,2004,2,10.33,538.344,487.9983,500.674,478.3336,512.4124,518.0369,550.1408
1680128,11,2005,2,9.42,463.7092,485.5688,572.0958,520.7287,487.0402,487.6785,481.404
1680129,10,2005,2,9.5,448.7863,459.9328,483.0614,439.9493,453.6597,429.6009,426.719
1680130,9,2005,1,9.58,361.454,273.7742,317.5204,305.8493,331.5474,369.288,378.4491
1680131,1,2005,1,10.25,518.7992,469.6853,515.1092,502.1864,494.0443,530.3485,546.9488
1680132,11,2004,1,10.42,652.6589,580.5461,618.9006,561.3652,641.5161,648.6693,627.9081
1680133,7,2005,2,9.75,387.4361,443.7347,512.0142,485.5224,428.3305,442.7451,418.3952
1680201,9,2005,2,9.58,508.2412,540.1078,513.7342,502.9718,490.4579,501.7647,508.5223
1680202,8,2006,1,8.67,409.4122,368.3147,485.3697,410.9922,370.5266,398.6918,425.7515
1680203,10,2004,2,10.5,403.3045,354.5824,448.8156,417.9126,341.7258,349.7159,342.3696
1680204,5,2005,1,9.92,528.7952,463.9379,486.4215,434.5824,492.0235,500.856,515.6378
1680205,9,2005,2,9.58,439.2779,431.5514,503.9026,454.6113,450.9553,423.4102,466.2069
1680206,11,2004,2,10.42,473.8621,528.6179,477.4389,515.7984,540.5972,531.9787,539.2108
1680207,3,2005,2,10.08,611.0878,647.6302,661.0975,599.0247,580.8276,579.3761,580.294
1680208,12,2004,2,10.33,481.4355,518.5251,514.655,488.0182,530.2639,541.9171,493.6703
